variable,mannwhitney_stat,mannwhitney_p_value,ks_stat,ks_p_value,point_biserial_corr,point_biserial_p_value,auc,auc_abs,auc_interpretation,cohens_d,cohens_d_interpretation,logit_beta,logit_odds_ratio,logit_p_value,logit_separation_detected
monto_sum_15d,201384909.0,9.012920613762789e-68,0.10171378521062824,2.4139201774125856e-44,0.0637386927795504,1.804324397270329e-87,0.5719371356479487,0.5719371356479487,casi aleatorio,0.28430187845957416,pequeño,7.657745802278316e-06,1.000007657775123,1.0310089139260388e-75,False
monto_sum_10d,197795354.5,2.731452799985017e-62,0.0994101827825386,6.57291245555805e-42,0.06313493575754842,9.318871624418338e-85,0.5692639038730899,0.5692639038730899,casi aleatorio,0.2813049570641059,pequeño,1.0447932137358264e-05,1.0000104479867171,7.475358110233428e-74,False
monto_max_15d,203085451.5,2.594752138561302e-61,0.09248865380482407,1.000243865474003e-36,0.07804964291510827,2.5720184667571267e-130,0.56832247009472,0.56832247009472,casi aleatorio,0.34849003587993266,pequeño,0.0006419227991448988,1.0006421288756777,2.581604642771822e-118,False
monto_max_10d,198258073.0,1.5229828278181395e-60,0.09238697902631132,3.0276185486168094e-36,0.0765452474750549,8.627742286775956e-124,0.5682562484567151,0.5682562484567151,casi aleatorio,0.34137729790680077,pequeño,0.0006722268324525639,1.0006724528275468,4.892918577143756e-112,False
monto_max_7d,192591183.0,3.4949233905002585e-59,0.09380267163468414,6.682780268253936e-37,0.0731826386498988,2.313621485942616e-111,0.5678790875719433,0.5678790875719433,casi aleatorio,0.32545940146944596,pequeño,0.0006986640661235237,1.000698908188712,4.1163742146205844e-101,False
monto_sum_7d,193016467.5,1.3963366486309615e-57,0.09541357367835068,3.624676861950737e-38,0.06271688071715897,3.051411769529523e-82,0.5669248677404907,0.5669248677404907,casi aleatorio,0.2787166539118211,pequeño,1.4165488592306529e-05,1.0000141655889234,3.3203132285394865e-72,False
monto_max_3d,170681695.0,6.437125817530917e-53,0.09289022004763103,2.9998933954101823e-34,0.07211418769343576,4.63174931735735e-101,0.565884587590893,0.565884587590893,casi aleatorio,0.3185405595708442,pequeño,0.0007947986779849547,1.0007951146141505,7.3424078566683535e-90,False
monto_sum_3d,172072213.0,1.415987586075739e-47,0.08949544224038353,8.083486994651298e-32,0.06452418983441835,3.014105527775194e-81,0.5623479148678321,0.5623479148678321,casi aleatorio,0.28486580721877364,pequeño,3.0258402283957262e-05,1.000030258860074,1.1792167696763135e-71,False
monto_max_1d,127060098.5,2.9745181370514193e-35,0.08840410024654122,4.804631545889661e-27,0.06964066983532992,1.4803467278821762e-79,0.5571920445740611,0.5571920445740611,casi aleatorio,0.30237108615282865,pequeño,0.0009282980151225108,1.0009287290170807,1.2088898093687017e-69,False
monto_mean_15d,210207174.5,7.516305849128837e-38,0.07883679326297088,8.631223465668443e-27,0.055768241931880264,2.2692203245996503e-67,0.5531845674502777,0.5531845674502777,casi aleatorio,0.24863138444543267,pequeño,0.0024157517510874035,1.002418672030432,1.5375406318537396e-55,False
monto_sum_1d,128305743.5,2.3733503425648023e-30,0.07537336233759206,9.050903990648327e-20,0.06670282456819981,3.984685511465447e-73,0.5528509373173519,0.5528509373173519,casi aleatorio,0.2895570604346603,pequeño,8.255558339631196e-05,1.0000825589912024,3.967150671217793e-65,False
monto_mean_3d,175889791.0,2.0762769197337885e-34,0.07395137294375853,7.484840867530265e-22,0.05264761687182021,1.1388960128351247e-54,0.5526382067009784,0.5526382067009784,casi aleatorio,0.2322700679873721,pequeño,0.0020475501528870255,1.0020496478151466,2.0880240376298454e-41,False
monto_mean_1d,128451427.0,8.389823091915425e-30,0.07240427561313223,2.8288561046838123e-18,0.06072658249891473,6.658217770743967e-61,0.5523432262929165,0.5523432262929165,casi aleatorio,0.2635134163922908,pequeño,0.0023266009253045407,1.0023293095614685,6.430151241859738e-50,False
monto_mean_10d,205783076.0,1.0460256867939106e-35,0.0778122388539838,7.977988101623099e-26,0.0537683804925809,5.938719437755216e-62,0.551869157749975,0.551869157749975,casi aleatorio,0.23943961494144955,pequeño,0.0022228440360454772,1.0022253163853927,2.590672677350401e-47,False
monto_mean_7d,199927412.0,1.0427603385029356e-34,0.07429609643226343,2.6946154482956104e-23,0.05171680367917541,1.7640670675543378e-56,0.5514186353337888,0.5514186353337888,casi aleatorio,0.2296867266428767,pequeño,0.0021314073525550083,1.0021336804158607,5.085795732091597e-44,False
monto_mean_1h,13845029.5,4.235160134029183e-09,0.11115243595031854,1.2873785226700469e-14,0.06916259307249241,5.030588602727212e-26,0.546757102263427,0.546757102263427,casi aleatorio,0.2912432330709977,pequeño,0.0020294699722790545,1.0020315307403165,4.458219994924789e-22,False
monto_median_1h,13910063.0,2.0557601007917283e-08,0.10872679774508454,5.2877311938926997e-14,0.06765863790817243,5.666086555188103e-25,0.5446281091840008,0.5446281091840008,casi aleatorio,0.28488063785206025,pequeño,0.0020324142028450834,1.0020344809565205,4.9333151941881e-21,False
monto_min_1h,13916150.0,2.3748722497647464e-08,0.09134469957376601,5.257969979146388e-10,0.04914729364160966,6.727469054441573e-14,0.5444288398708858,0.5444288398708858,casi aleatorio,0.20671315689451908,pequeño,0.001729226243405647,1.0017307222172742,3.42976182784771e-12,False
monto_max_1h,13970277.0,8.341982410245368e-08,0.11516499381273204,1.1606697365995074e-15,0.07138475076027895,1.2756830976599165e-27,0.5426568914379997,0.5426568914379997,casi aleatorio,0.3006479030427547,pequeño,0.00143022349217934,1.001431246749569,5.3506683308411145e-24,False
monto_sum_1h,13980475.5,1.0513195578411365e-07,0.10164970896924697,2.7249307370944983e-12,0.07792196810187856,1.3178310433173323e-32,0.5423230244937244,0.5423230244937244,casi aleatorio,0.3283415027211957,pequeño,0.0007562985952101701,1.0007565846611053,3.7205729954513715e-28,False
monto_median_1d,132129950.5,1.1088473005170483e-17,0.06425039477521866,1.765616475820513e-14,0.055702084113898785,1.6307918817089604e-51,0.5395234702148802,0.5395234702148802,casi aleatorio,0.2416394687711438,pequeño,0.0023066011561535898,1.002309263407124,1.207071782599373e-41,False
monto_median_15d,216829065.5,3.1728814651149297e-21,0.06564704144265976,1.0583808962852138e-18,0.05177913440321848,2.5616200998228868e-58,0.5391091054756812,0.5391091054756812,casi aleatorio,0.23079710123323835,pequeño,0.0025986867419295775,1.002602066255119,1.1740713887577641e-46,False
monto_median_3d,181561922.5,6.677044920281614e-19,0.06173197714054557,2.3587972041533607e-15,0.047641000208376624,4.448272834570639e-45,0.5382115881619418,0.5382115881619418,casi aleatorio,0.2101290484626286,pequeño,0.0019976878504060136,1.001999684558158,5.0424215693481546e-33,False
monto_median_7d,206498057.0,1.863826679001572e-18,0.05881490956300439,9.368256723662123e-15,0.04681150621513947,1.3811334223684125e-46,0.5366759401158002,0.5366759401158002,casi aleatorio,0.20785076748361994,pequeño,0.002165941211298664,1.0021682885563954,8.405526006068516e-35,False
monto_median_10d,212915062.5,2.366280451425951e-18,0.06048471679663636,9.091852269186485e-16,0.04819662007980203,4.044974100575781e-50,0.5363379334176067,0.5363379334176067,casi aleatorio,0.21456651320723832,pequeño,0.0022529931274506737,1.0022555330235647,2.279835942959241e-36,False
monto_min_1d,137683809.0,1.2478297974857145e-05,0.04302602580307502,9.944431119262752e-07,0.024233787934591362,5.200557285084907e-11,0.5201681198244508,0.5201681198244508,casi aleatorio,0.10499545469137753,despreciable,0.0014495352920264068,1.0014505863761076,1.1814626230679871e-09,False
monto_min_15d,244706143.5,1.107306988368926e-06,0.04708580341351426,7.927375194550528e-10,-0.0010340586227692585,0.7479789548287792,0.4798537128164152,0.5201462871835848,casi aleatorio,-0.004602968319104779,despreciable,-0.00015250130367334088,0.9998475103240594,0.747659632181142,False
monto_min_10d,236202758.5,0.0005464309788410845,0.036943029495037694,3.769010100471403e-06,-0.0004641573225267024,0.8860696698032352,0.4856246530769895,0.5143753469230106,casi aleatorio,-0.002063980607348751,despreciable,-5.76480493768821e-05,0.9999423536122399,0.8860547751550232,False
monto_min_7d,227520792.0,0.012148760595921643,0.0357040790267312,1.0444285656995645e-05,-0.001450243606618372,0.6572097097434006,0.489506784765977,0.510493215234023,casi aleatorio,-0.0064322671394278705,despreciable,-0.00018457527675260228,0.9998154417562158,0.6567647111390411,False
monto_min_3d,196790510.0,0.9036075420937448,0.027916111056342785,0.001761343251923119,0.0031549710211941405,0.35108348000588624,0.4994788784652713,0.5005211215347287,casi aleatorio,0.013899825480133568,despreciable,0.0002763813610716769,1.000276419557919,0.35092475664333544,False
